job_role,Skill,Question,Type,Options,Answer
Frontend Developer,HTML,What is the correct HTML tag for inserting a line break?,mcq,"<break>, <br>, <line>, <lb>",<br>
Frontend Developer,HTML,Create an HTML form with fields for Name and Email.,coding,,"<form>\n  <label for=\""name\"">Name:</label>\n  <input type=\""text\"" id=\""name\"" name=\""name\"" required>\n\n  <label for=\""email\"">Email:</label>\n  <input type=\""email\"" id=\""email\"" name=\""email\"" required>\n\n  <input type=\""submit\"" value=\""Submit\"">\n</form>"
Frontend Developer,HTML,Explain the difference between `<div>` and `<span>` in HTML.,open-ended,,"A `<div>` is a block-level element used for structuring and grouping content, whereas a `<span>` is an inline element used for styling a small portion of text within a block."
Frontend Developer,HTML,What is the purpose of the `alt` attribute in an image tag?,mcq,"For styling, For accessibility, For image size, None of the above",For accessibility
Frontend Developer,HTML,What is the semantic tag used for navigation links in HTML?,mcq,"<nav>, <link>, <a>, <ul>",<nav>
Frontend Developer,HTML,Write an HTML snippet to display a list of links.,coding,,"<ul>\n  <li><a href=\""https://example.com\"">Example Link 1</a></li>\n  <li><a href=\""https://example.com\"">Example Link 2</a></li>\n  <li><a href=\""https://example.com\"">Example Link 3</a></li>\n</ul>"
Frontend Developer,CSS,What is the default value of the `position` property in CSS?,mcq,"static, relative, absolute, fixed",static
Frontend Developer,CSS,Create a CSS rule to center a div element horizontally and vertically.,coding,,div {\n  display: flex;\n  justify-content: center;\n  align-items: center;\n  height: 100vh;\n}
Frontend Developer,CSS,Explain the concept of CSS specificity.,open-ended,,CSS specificity determines which CSS rule is applied when multiple rules target the same element. It is calculated based on a hierarchy of selectors
Frontend Developer,CSS,What is the purpose of `z-index` in CSS?,mcq,"Layering of elements, To change the background color, To change the text size, None of the above",Layering of elements
Frontend Developer,JavaScript,What is the output of `console.log(2 + '2')` in JavaScript?,mcq,"4, 22, NaN, Error",22
Frontend Developer,JavaScript,Write a JavaScript function to reverse a string.,coding,,function reverseString(str) {\n  return str.split('').reverse().join('');\n}
Frontend Developer,JavaScript,"What is the difference between `var`, `let`, and `const` in JavaScript?",open-ended,,"`var` is function-scoped or globally scoped (if declared outside any function) and can be re-declared and updated. `let` is block-scoped and allows reassignment but does not allow re-declaration in the same scope. `const` is also block-scoped like `let`, but it does not allow reassignment after the initial assignment, making it useful for variables that should not change."
Frontend Developer,JavaScript,What does the `this` keyword refer to in JavaScript?,mcq,"The current object, The global object, The previous function, The parent function",The current object
Frontend Developer,React,What is JSX in React?,mcq,"A syntax extension for JavaScript, A CSS framework, A database, A testing tool",A syntax extension for JavaScript
Frontend Developer,React,Create a simple React component that displays a greeting message.,coding,,"import React from 'react';\n\nfunction Greeting() {\n  return <h1>Hello, Welcome to React!</h1>;\n}\n\nexport default Greeting;"
Frontend Developer,React,What is the purpose of `props` in React?,open-ended,,"`props` (short for properties) in React are used to pass data from a parent component to a child component. They allow components to be dynamic and reusable by providing different values based on the context in which they are used. `props` are immutable, meaning they cannot be modified within the child component, and are crucial for maintaining unidirectional data flow in React applications."
Frontend Developer,React,What is the difference between functional components and class components in React?,mcq,"Functional components are stateless, Class components do not accept props, Class components are always faster, Functional components are always slower",Functional components are stateless
Frontend Developer,React,Write a React component that handles a button click event.,coding,,"import React, { useState } from 'react';\n\nfunction ButtonClick() {\n  const [message, setMessage] = useState('');\n\n  const handleClick = () => {\n    setMessage('Button Clicked!');\n  };\n\n  return (\n    <div>\n      <button onClick={handleClick}>Click Me</button>\n      <p>{message}</p>\n    </div>\n  );\n}\n\nexport default ButtonClick;"
Frontend Developer,Vue.js,What is Vuex in Vue.js?,mcq,"State management pattern, Router module, Vue template engine, CSS library",State management pattern
Frontend Developer,Vue.js,Write a Vue.js component that displays a message.,coding,,"<template>\n  <div>\n    <h1>{{ message }}</h1>\n  </div>\n</template>\n\n<script>\nexport default {\n  data() {\n    return {\n      message: 'Hello, Vue.js!'\n    };\n  }\n};\n</script>"
Frontend Developer,Vue.js,What is the purpose of `v-bind` in Vue.js?,open-ended,,"`v-bind` in Vue.js is used to bind an attribute or a prop to an expression or data value in the Vue instance. It allows dynamic updates to the HTML attributes or component props. For example, `v-bind` can dynamically set an element's `src` attribute or a component's `class` based on the data in the Vue instance, ensuring the UI is reactive to changes in the underlying data."
Frontend Developer,Angular,What is the purpose of Angular's `ngFor` directive?,mcq,"For looping over data, For adding styles, For handling events, For binding data",For looping over data
Frontend Developer,Angular,Write an Angular component to display a list of items.,coding,,"import { Component } from '@angular/core';\n\n@Component({\n  selector: 'app-item-list',\n  template: `\n    <ul>\n      <li *ngFor='let item of items'>{{ item }}</li>\n    </ul>\n  `,\n  styleUrls: ['./item-list.component.css']\n})\nexport class ItemListComponent {\n  items = ['Item 1', 'Item 2', 'Item 3', 'Item 4'];\n}"
Frontend Developer,Angular,Explain the concept of Angular services.,open-ended,,"Angular services are classes that provide specific functionality and can be injected into components, directives, or other services. They are typically used to share data, manage state, handle business logic, or interact with external APIs. Services are a key part of Angular's Dependency Injection system, allowing for better code organization, reuse, and testing. Services are usually singleton instances, meaning the same instance of the service is shared across the application unless configured otherwise."
Software Engineer,Java,What is the output of `System.out.println(2 + 3 * 4)` in Java?,mcq,"20, 14, 10, 16",14
